,Provincias,Ramas de actividad,periodo,Total,id
883,León,Valor añadido bruto total,2020,8.490.161,24
884,León,Valor añadido bruto total,2019,9.154.081,24
885,León,Impuestos netos sobre los productos,2021,974.013,24
886,León,Impuestos netos sobre los productos,2020,814.222,24
887,León,Impuestos netos sobre los productos,2019,939.169,24
888,León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10.224.642,24
889,León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9.304.383,24
890,León,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,10.093.250,24
891,Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12.558.913,25
892,Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11.521.909,25
893,Lleida,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12.641.158,25
894,Lleida,"A. Agricultura, ganadería, silvicultura y pesca",2021,734.891,25
895,Lleida,"A. Agricultura, ganadería, silvicultura y pesca",2020,768.325,25
896,Lleida,"A. Agricultura, ganadería, silvicultura y pesca",2019,635.301,25
897,Lleida,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.433.652,25
898,Lleida,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.208.932,25
899,Lleida,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.219.140,25
900,Lleida,C. - De las cuales: Industria manufacturera,2021,1.010.745,25
901,Lleida,C. - De las cuales: Industria manufacturera,2020,910.459,25
902,Lleida,C. - De las cuales: Industria manufacturera,2019,907.084,25
903,Lleida,F. Construcción,2021,641.829,25
904,Lleida,F. Construcción,2020,629.368,25
905,Lleida,F. Construcción,2019,811.609,25
906,Lleida,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,3.416.722,25
907,Lleida,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2.958.971,25
908,Lleida,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,3.785.177,25
909,Lleida,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2.360.633,25
910,Lleida,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2.268.866,25
911,Lleida,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2.327.973,25
912,Lleida,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2.774.807,25
913,Lleida,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2.679.171,25
914,Lleida,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2.685.708,25
915,Lleida,Valor añadido bruto total,2021,11.362.534,25
916,Lleida,Valor añadido bruto total,2020,10.513.633,25
917,Lleida,Valor añadido bruto total,2019,11.464.908,25
918,Lleida,Impuestos netos sobre los productos,2021,1.196.379,25
